path	lines	comment_lines	ratio	history_hits	bytes	gzip_bytes
.github/dependabot.yml	17	5	0.2941	0	626	348
.github/workflows/ci.yml	286	146	0.5105	10	14284	5575
.github/workflows/firmware.yml	84	27	0.3214	0	3187	1321
.gitignore	61	39	0.6393	5	2626	1226
adsb-test/.gitignore	8	3	0.3750	0	211	180
adsb-test/analyze_samples.py	297	38	0.1279	6	11375	3618
adsb-test/query_aggregator.py	219	48	0.2192	5	7716	3106
adsb-test/sample_window.py	165	36	0.2182	4	6072	2454
companion/__init__.py	1	1	1.0000	2	73	89
companion/app.py	3744	2140	0.5716	457	201663	59257
companion/auth.py	540	279	0.5167	43	23052	8715
companion/battery.py	457	288	0.6302	31	21280	8062
companion/conftest.py	218	81	0.3716	5	8309	3098
companion/contrast_check.py	226	140	0.6195	8	9844	4193
companion/draw.py	1367	873	0.6386	21	64716	22885
companion/frame_state.py	216	151	0.6991	17	10722	4075
companion/i18n.py	42	28	0.6667	4	1730	873
companion/i18n_fr/__init__.py	47	24	0.5106	3	1871	923
companion/i18n_fr/airlines.py	140	58	0.4143	26	7880	3286
companion/i18n_fr/calendar_group.py	77	53	0.6883	15	4100	1898
companion/i18n_fr/common.py	236	65	0.2754	20	13178	4670
companion/i18n_fr/display.py	485	309	0.6371	102	27684	10599
companion/i18n_fr/flights.py	160	89	0.5563	26	8638	3647
companion/i18n_fr/frame_state.py	70	63	0.9000	9	3906	1918
companion/i18n_fr/health.py	383	149	0.3890	43	21717	8354
companion/i18n_fr/home.py	146	88	0.6027	27	7818	3371
companion/i18n_fr/nav.py	101	70	0.6931	30	5070	2292
companion/i18n_fr/notifications.py	72	45	0.6250	16	3692	1770
companion/i18n_fr/registry.py	59	32	0.5424	3	2463	1140
companion/i18n_fr/rules.py	74	47	0.6351	10	3966	1821
companion/illustration_normalize.py	153	105	0.6863	4	8021	3480
companion/layout.py	4168	2726	0.6540	458	217919	70666
companion/pages/__init__.py	176	176	1.0000	35	10792	4196
companion/pages/airlines_page.py	2503	1652	0.6600	382	134906	43604
companion/pages/config_page.py	6652	4430	0.6660	932	366815	115943
companion/pages/health_page.py	4675	3192	0.6828	554	254969	85051
companion/pages/history_page.py	1821	1116	0.6129	190	93411	31538
companion/pages/home_page.py	950	497	0.5232	89	46917	16594
companion/prefs.py	59	45	0.7627	5	2765	1359
companion/screens.py	139	95	0.6835	26	7091	2947
companion/static/battery-trend.js	222	117	0.5270	21	10336	4055
companion/static/confirm-submit.js	79	50	0.6329	4	3464	1706
companion/static/copy-button.js	179	71	0.3966	8	7206	2861
companion/static/dirty-state.js	726	472	0.6501	47	35867	12809
companion/static/flash-cleanup.js	95	72	0.7579	3	4890	2295
companion/static/flight-rows.js	281	148	0.5267	9	12099	4770
companion/static/freshness.js	1073	645	0.6011	83	50578	17471
companion/static/list-filter.js	240	144	0.6000	18	11359	4592
companion/static/login-card.js	152	86	0.5658	3	7384	3202
companion/static/nav-dropdown.js	225	129	0.5733	8	10275	4207
companion/static/panel-lookup.js	691	349	0.5051	46	31999	11003
companion/static/poll-cooldown.js	88	47	0.5341	6	3770	1717
companion/static/quick-switch.js	340	195	0.5735	5	16038	6327
companion/static/relative-time.js	379	204	0.5383	6	16065	6095
companion/static/style.css	10689	6842	0.6401	830	512795	170211
companion/static/submit-guard.js	212	142	0.6698	6	9928	4059
companion/static/theme-preview.js	422	259	0.6137	31	19825	7418
companion/static/value-controls.js	1114	608	0.5458	36	52453	17720
companion/test_app_server_fixture.py	211	52	0.2464	2	7968	2951
companion/test_browser_origin.py	159	32	0.2013	4	6293	2546
companion/test_browser_policy.py	134	36	0.2687	2	4897	1928
companion/test_browser_ux_01.py	1408	542	0.3849	136	75969	21502
companion/test_browser_ux_02.py	1954	562	0.2876	115	104647	28273
companion/test_browser_ux_03.py	1844	269	0.1459	110	93858	21695
companion/test_browser_ux_04.py	1486	340	0.2288	79	77135	20614
companion/test_browser_ux_health_drawings.py	1794	554	0.3088	60	100192	26947
companion/test_browser_ux_helpers.py	2717	1399	0.5149	57	137513	45932
companion/test_browser_ux_quiet_wake.py	1938	623	0.3215	73	98686	26761
companion/test_companion_app_01.py	897	267	0.2977	65	45430	13890
companion/test_companion_app_02.py	1618	355	0.2194	72	89817	25150
companion/test_companion_app_03.py	1541	341	0.2213	111	86132	21021
companion/test_companion_app_04.py	967	183	0.1892	39	57268	13730
companion/test_companion_app_04b.py	904	204	0.2257	28	49679	11752
companion/test_companion_app_05.py	1661	296	0.1782	70	92504	19944
companion/test_companion_app_helpers.py	197	81	0.4112	3	8350	3472
companion/test_config_page_01.py	658	147	0.2234	57	35143	9868
companion/test_config_page_02.py	2220	690	0.3108	157	128088	33962
companion/test_config_page_03.py	1777	508	0.2859	125	101573	26763
companion/test_config_page_04.py	938	216	0.2303	68	55886	12879
companion/test_config_page_04b.py	1000	220	0.2200	81	61872	15141
companion/test_config_page_05.py	1578	321	0.2034	128	88791	24751
companion/test_config_page_helpers.py	145	79	0.5448	10	6608	3056
companion/test_contrast_check.py	335	91	0.2716	0	15718	4667
companion/test_health_offbox.py	269	33	0.1227	7	10411	2256
companion/test_i18n.py	287	61	0.2125	3	11609	3592
companion/test_login_throttle.py	182	40	0.2198	6	7212	2433
companion/test_post_origin.py	232	39	0.1681	5	8774	2627
companion/test_status_pages_01.py	940	230	0.2447	53	51906	13641
companion/test_status_pages_02.py	1726	455	0.2636	124	101266	27979
companion/test_status_pages_03.py	1836	463	0.2522	139	107779	26175
companion/test_status_pages_04.py	1351	236	0.1747	6	76271	20162
companion/test_status_pages_05.py	797	225	0.2823	77	41817	12383
companion/test_status_pages_05b.py	803	207	0.2578	31	45530	13039
companion/test_status_pages_06.py	1540	418	0.2714	117	79848	21540
companion/test_status_pages_07.py	1402	395	0.2817	74	86420	25781
companion/test_status_pages_helpers.py	179	56	0.3128	1	6780	2647
companion/test_suite_guards.py	777	83	0.1068	1	34665	9067
companion/test_view_pages_01.py	637	99	0.1554	44	32685	8769
companion/test_view_pages_02.py	1431	322	0.2250	121	79236	20003
companion/test_view_pages_03.py	1464	211	0.1441	74	81332	22223
companion/test_view_pages_04.py	1699	471	0.2772	60	99160	28554
companion/test_view_pages_helpers.py	122	52	0.4262	0	4962	2204
companion/theme_preview.py	376	235	0.6250	25	18591	7305
companion/wake.py	38	30	0.7895	7	2024	1071
conftest.py	59	26	0.4407	1	2600	1234
deploy/.gitignore	6	5	0.8333	0	347	268
deploy/Caddyfile	126	100	0.7937	11	6857	3103
deploy/activate.sh	385	65	0.1688	6	15433	5074
deploy/backup/backup_gate.py	159	39	0.2453	7	5502	2254
deploy/backup/install-backup-key.sh	66	25	0.3788	5	2990	1458
deploy/backup/mac/install-launchagent.sh	83	20	0.2410	5	2931	1254
deploy/backup/mac/skypane-backup-pull.plist.template	43	13	0.3023	2	1424	743
deploy/backup/mac/skypane-backup-pull.sh	171	32	0.1871	3	5591	2451
deploy/backup/skypane_backup.py	246	54	0.2195	8	9238	3559
deploy/deploy.sh	61	33	0.5410	5	2871	1442
deploy/harden_sshd.sh	86	27	0.3140	4	3254	1526
deploy/provision.sh	224	102	0.4554	14	11390	4716
deploy/render_caddyfile.sh	68	39	0.5735	4	3026	1353
deploy/skypane-backup.service	59	17	0.2881	2	2180	1106
deploy/skypane-backup.timer	16	5	0.3125	0	532	367
deploy/skypane-byos.service	76	26	0.3421	2	3047	1546
deploy/skypane-companion.service	80	31	0.3875	4	3269	1643
deploy/skypane-poll.service	57	13	0.2281	2	2061	1112
deploy/skypane-poll.timer	16	5	0.3125	1	496	350
deploy/skypane.env.example	108	88	0.8148	10	6213	2950
deploy/tests/conftest.py	336	62	0.1845	5	11817	4199
